id,price
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-01,18901.544921875
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-02,15793.296875
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-03,15844.7373046875
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-04,15826.9599609375
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-05,15915.080078125
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-06,15882.958984375
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-07,15836.5439453125
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-08,15839.3017578125
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-09,15855.7900390625
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-10,15847.2900390625
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-11,16453.6796875
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-12,16462.41796875
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-13,16457.791015625
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-14,16456.30078125
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-15,16456.36328125
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-16,16454.505859375
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-17,16461.076171875
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-18,16461.357421875
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-19,16461.212890625
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-20,16457.791015625
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-21,16456.30078125
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-22,16456.36328125
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-23,16454.505859375
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-24,16461.076171875
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-25,16462.138671875
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-26,16461.994140625
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-27,16458.572265625
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-28,16456.05859375
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-29,16456.05859375
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-30,16455.32421875
Minyak Goreng Kemasan Sederhana/Aceh/2024-10-31,16461.89453125
Minyak Goreng Kemasan Sederhana/Aceh/2024-11-01,16462.17578125
Minyak Goreng Kemasan Sederhana/Aceh/2024-11-02,16462.03125
Minyak Goreng Kemasan Sederhana/Aceh/2024-11-03,16458.609375
Minyak Goreng Kemasan Sederhana/Aceh/2024-11-04,16456.05859375
Minyak Goreng Kemasan Sederhana/Aceh/2024-11-05,16456.05859375
Minyak Goreng Kemasan Sederhana/Aceh/2024-11-06,16455.32421875
Minyak Goreng Kemasan Sederhana/Aceh/2024-11-07,16461.89453125
Minyak Goreng Kemasan Sederhana/Aceh/2024-11-08,16462.17578125
Minyak Goreng Kemasan Sederhana/Aceh/2024-11-09,16462.03125
Minyak Goreng Kemasan Sederhana/Aceh/2024-11-10,16458.609375
Minyak Goreng Kemasan Sederhana/Aceh/2024-11-11,16456.05859375
Minyak Goreng Kemasan Sederhana/Aceh/2024-11-12,16456.05859375
Minyak Goreng Kemasan Sederhana/Aceh/2024-11-13,16455.32421875
Minyak Goreng Kemasan Sederhana/Aceh/2024-11-14,16461.89453125
